,a,b,c
~,2,#N/A,#N/A
家乐福,19,20,0.95
油工,19,34,0.558823529
鼎胜,19,62,0.306451613
鲁地,18,31,0.580645161
汇理,17,24,0.708333333
603045,16,52,0.307692308
603876,16,52,0.307692308
文灿,15,61,0.245901639
600901,15,49,0.306122449
孜,14,14,1
国晶辉,14,22,0.636363636
603348,13,51,0.254901961
越博,12,81,0.148148148
天香,12,176,0.068181818
红外光,11,17,0.647058824
保留,11,48,0.229166667
六陆,10,74,0.135135135
佳园,10,22,0.454545455
总汇,10,13,0.769230769
上元,10,10,1
黑五类,9,12,0.75
名店,9,11,0.818181818
1,1,26018,3.84349E-05
巢,9,24,0.375
HXB1,9,28,0.321428571
良村,9,20,0.45
大角山,8,10,0.8
捷达,8,12,0.666666667
阳晨,8,40,0.2
鑫享,8,13,0.615384615
首钢总公司,7,68,0.102941176
盛彩,7,9,0.777777778
2200,7,9,0.777777778
创亚,7,11,0.636363636
燕,7,34,0.205882353
北碚区,7,11,0.636363636
哲信,7,11,0.636363636
龙昊,7,17,0.411764706
结构图,7,20,0.35
电子系统,7,16,0.4375
日星,7,13,0.538461538
御,7,17,0.411764706
信服,7,63,0.111111111
世荣,6,20,0.3
斗门区,6,23,0.260869565
成大拟,6,9,0.666666667
琳丽,6,6,1
流水,6,11,0.545454545
缤,6,8,0.75
科翼,6,10,0.6
三山,6,10,0.6
众应,6,126,0.047619048
平江县,6,15,0.4
轻钢,6,9,0.666666667
普什,6,17,0.352941176
180239,6,6,1
欣欣,6,13,0.461538462
德化,6,9,0.666666667
无线通讯,6,14,0.428571429
金橙,6,9,0.666666667
无锡小天鹅股份有限公司,6,13,0.461538462
对欣龙,6,10,0.6
南自海吉,6,6,1
法制报,6,7,0.857142857
南自美卓,6,6,1
401,6,9,0.666666667
德善,6,6,1
永庆,6,10,0.6
上鸿润,6,10,0.6
星业,6,6,1
敖汉旗,5,14,0.357142857
友智,5,5,1
崔家沟,5,5,1
盛欣,5,5,1
辐条,5,9,0.555555556
鑫亚,5,8,0.625
问鼎,5,5,1
华久,5,9,0.555555556
易福诺,5,5,1
三年期,5,14,0.357142857
波纹,5,7,0.714285714
柳药,5,7,0.714285714
瑞华验,5,11,0.454545455
法定,5,24,0.208333333
鑫意,5,7,0.714285714
医学院,5,18,0.277777778
英美,5,18,0.277777778
林斌,5,21,0.238095238
台山,5,15,0.333333333
茨,5,9,0.555555556
跃升,5,5,1
谯,5,9,0.555555556
林缘,5,11,0.454545455
晨枫,5,8,0.625
智能型,5,5,1
威卡威,5,18,0.277777778
娄烦县,5,12,0.416666667
开发进展,5,17,0.294117647
耀江,5,21,0.238095238
171676,5,8,0.625
同人华塑,5,6,0.833333333
盛鑫,5,14,0.357142857
崇德,5,9,0.555555556
缩减,5,33,0.151515152
韩城市,5,7,0.714285714
明欣,5,5,1
徐楼,5,13,0.384615385
伍兴岐,5,5,1
六间房,5,7,0.714285714
152445,5,6,0.833333333
密境,5,5,1
永昱,5,6,0.833333333
狮溪,5,7,0.714285714
杨歧,5,6,0.833333333
博声,5,5,1
BorsodChem,5,6,0.833333333
拓享,5,10,0.5
佳云,5,21,0.238095238
盟泰励,5,7,0.714285714
安旭,4,6,0.666666667
北京分行,4,14,0.285714286
进贤县,4,7,0.571428571
瓶,4,26,0.153846154
LETTER,4,5,0.8
调速,4,10,0.4
812,4,4,1
金属钠,4,5,0.8
NOTIFICATION,4,5,0.8
深证,4,21,0.19047619
内科,4,4,1
草糖,4,4,1
美度,4,7,0.571428571
新峰,4,10,0.4
沈新开,4,12,0.333333333
西湾,4,12,0.333333333
内部结构,4,7,0.571428571
木制品,4,4,1
301,4,5,0.8
黄工,4,4,1
红博,4,7,0.571428571
冠业,4,4,1
歌华,4,14,0.285714286
核心技术,4,13,0.307692308
160368,4,4,1
180561,4,7,0.571428571
快威,4,18,0.222222222
旌能,4,13,0.307692308
雅都,4,12,0.333333333
英泰,4,8,0.5
功率,4,9,0.444444444
大盛,4,9,0.444444444
张殿,4,8,0.5
TMT,4,8,0.5
现货,4,22,0.181818182
统帅,4,13,0.307692308
163035,4,4,1
熟料,4,22,0.181818182
沁园,4,4,1
博苑,4,4,1
绘宇,4,8,0.5
馨,4,11,0.363636364
周伟成,4,6,0.666666667
胚,4,24,0.166666667
野生,4,7,0.571428571
智建,4,8,0.5
中鸿,4,4,1
明丰,4,4,1
吴军,4,6,0.666666667
锦城,4,10,0.4
铝塑,4,11,0.363636364
侨虹,4,15,0.266666667
软包,4,9,0.444444444
侨禧,4,11,0.363636364
茂,4,4,1
双洲,4,5,0.8
松山区,4,5,0.8
精品廊,4,4,1
二沙,4,4,1
慕,4,5,0.8
强音,4,15,0.266666667
梦响,4,15,0.266666667
布料,4,5,0.8
潮楼,4,6,0.666666667
国环,4,4,1
日以,4,13,0.307692308
鹭路兴,4,15,0.266666667
胡彪,4,6,0.666666667
虹峰,4,8,0.5
恒汇,4,9,0.444444444
押运,4,10,0.4
五华县,4,15,0.266666667
172527,4,8,0.5
171349,4,8,0.5
170755,4,4,1
清投,4,5,0.8
刘昕,4,17,0.235294118
荣置,4,4,1
